Srno,EnglishRecepie,FlavourProfile,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Diet,Course,Cuisine,Region,StringCleanedLowerIngredientsFiltered,ProcessedCleanedLoweredIngredientsFiltered,common_alergens,URL
1,Masala Karela Recipe,Bitter,15,30,45,6,Diabetic Friendly,Side Dish,Indian,Indian,karela bitter gourd pavakkai deseeded salt onion flour besan haldi haldi chilli jeera jeera coriander coriander amchur mango sunflower oil,"['karela', 'bitter', 'gourd', 'pavakkai', 'deseeded', 'salt', 'onion', 'gram', 'flour', 'besan', 'haldi', 'haldi', 'chilli', 'jeera', 'jeera', 'coriander', 'coriander', 'amchur', 'mango', 'oil']",['mango'],https://www.archanaskitchen.com/masala-karela-recipe
2,Spicy Tomato Rice (Recipe),Spicy,5,10,15,3,Vegetarian,Main Course,South Indian Recipes,South India,rice tomato bc belle bhat salt chickpea lentils jeera urad dal mustard green chilli chilli cashew peanut oil hing,"['rice', 'tomato', 'bc', 'belle', 'bhat', 'salt', 'chickpea', 'lentils', 'jeera', 'urad', 'dal', 'mustard', 'chilli', 'chilli', 'cashew', 'peanut', 'oil', 'hing']","['mustard', 'chickpea']",http://www.archanaskitchen.com/spicy-tomato-rice-recipe-in-hindi
3,Ragi Semiya Upma Recipe  Ragi Millet Vermicelli Breakfast,Spicy,20,30,50,4,High Protein Vegetarian,South Indian Breakfast,South Indian Recipes,South India,rice vermicelli noodles onion carrots carrot green peas matar green chillies hinghing mustard urad dal ghee sprig curry salt lemon juice,"['rice', 'vermicelli', 'noodles', 'onion', 'carrots', 'carrot', 'peas', 'matar', 'chillies', 'hinghing', 'mustard', 'urad', 'dal', 'ghee', 'sprig', 'curry', 'salt', 'lemon']","['ghee', 'carrot', 'mustard']",http://www.archanaskitchen.com/ragi-vermicelli-semiya-recipe-healthy-finger-millet-semiya-breakfast
4,Gongura Chicken Curry Recipe  Andhra Style Gongura Chicken,Tangy,15,30,45,4,Non Vegeterian,Lunch,Andhra,South India,chicken onion tomato green chillies ginger laung garlic haldi haldi garam masala sesame gingelly oil salt methi methiseeds coriander coriander chillies saufseeds saunf sesame gingelly oil laung garlic sorrel gongura picked salt,"['chicken', 'onion', 'tomato', 'chillies', 'ginger', 'laung', 'garlic', 'haldi', 'haldi', 'garam', 'masala', 'sesame', 'gingelly', 'oil', 'salt', 'methi', 'methiseeds', 'coriander', 'coriander', 'chillies', 'saufseeds', 'saunf', 'sesame', 'gingelly', 'oil', 'laung', 'garlic', 'sorrel', 'gongura', 'picked', 'salt']","['sesame', 'chicken']",http://www.archanaskitchen.com/gongura-chicken-curry-recipe-andhra-style-gongura-chicken
5,Andhra Style Alam Pachadi Recipe  Adrak Chutney (Recipe),Tangy,10,20,30,4,Vegetarian,South Indian Breakfast,Andhra,South India,chana dal urad dal chillies coriander ginger chop onion chop tomato chop salt mustard hing oil sprig curry,"['chana', 'dal', 'urad', 'dal', 'chillies', 'coriander', 'ginger', 'chop', 'onion', 'chop', 'tomato', 'chop', 'salt', 'mustard', 'hing', 'oil', 'sprig', 'curry']",['mustard'],https://www.archanaskitchen.com/andhra-style-allam-pachadi-ginger-chutney-recipe-in-hindi
6,mint Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves  Mild Spices),Spicy,10,20,30,4,High Protein Vegetarian,South Indian Breakfast,South Indian Recipes,South India,rice minutes moong dal minutes mint mint tightly packed coriander coriander tightly packed green chilli ginger jeera jeera water sunflower oil salt ghee cashew nuts halved jeera jeera black peppercorns sprig curry hinghing,"['rice', 'minutes', 'moong', 'dal', 'minutes', 'mint', 'mint', 'tightly', 'packed', 'coriander', 'coriander', 'tightly', 'packed', 'chilli', 'ginger', 'jeera', 'jeera', 'water', 'oil', 'salt', 'ghee', 'cashew', 'nuts', 'halved', 'jeera', 'jeera', 'peppercorns', 'sprig', 'curry', 'hinghing']",['ghee'],http://www.archanaskitchen.com/mint-khara-pongal-recipe-rice-and-lentils-cooked-with-mint-leaves-mild-spices
7,Udupi Style Ash Gourd Coconut Curry Recipe,Sweet,10,30,40,4,Vegetarian,Lunch,Udupi,South India,vellai poosanikai ash gourdwhite pumpkin haldi haldi salt sunflower oil chillies fresh coconut tamarind water methi methiseeds jeera jeera coriander coriander sesame til jaggery tamarind water sunflower oil mustard sprig curry torn chillies,"['vellai', 'poosanikai', 'ash', 'gourdwhite', 'pumpkin', 'haldi', 'haldi', 'salt', 'oil', 'chillies', 'coconut', 'tamarind', 'water', 'methi', 'methiseeds', 'jeera', 'jeera', 'coriander', 'coriander', 'sesame', 'til', 'jaggery', 'tamarind', 'water', 'oil', 'mustard', 'sprig', 'curry', 'torn', 'chillies']","['sesame', 'mustard']",http://www.archanaskitchen.com/udupi-style-ash-gourd-coconut-curry-recipe
8,Mexican Style Black Bean Burrito Recipe,Spicy,10,30,40,4,Vegetarian,Lunch,Mexican,International,tortillas black beans overnight spinach palak onion tomato laung garlic sprig coriander coriander rice brown rice lemon juice spring onion greens cheddar cheese hung curd greek curd,"['tortillas', 'beans', 'overnight', 'spinach', 'palak', 'onion', 'tomato', 'laung', 'garlic', 'sprig', 'coriander', 'coriander', 'rice', 'brown', 'rice', 'lemon', 'spring', 'onion', 'greens', 'cheddar', 'cheese', 'curd', 'curd']","['cheese', 'curd']",https://www.archanaskitchen.com/black-bean-burrito-recipe
9,Spicy Crunchy Masala Idli Recipe,Spicy,10,20,30,3,Vegetarian,Snack,South Indian Recipes,South India,idli strips green bell pepper capsicum tomato onions green chillies chilli haldi haldi tomato ketchup coriander coriander mint mint sunflower oil salt,"['idli', 'strips', 'bell', 'pepper', 'capsicum', 'tomato', 'onions', 'chillies', 'chilli', 'haldi', 'haldi', 'tomato', 'ketchup', 'coriander', 'coriander', 'mint', 'mint', 'oil', 'salt']",[],http://www.archanaskitchen.com/spicy-crunchy-masala-idli-recipe
10,Cauliflower Leaves Chutney (Recipe in Hindi),Tangy,5,20,25,3,Vegetarian,Side Dish,South Indian Recipes,South India,cabbage tomato tamarind urad dal chillies salt hing laung garlic haldi big oil rye jeera sprig curry,"['cabbage', 'tomato', 'tamarind', 'urad', 'dal', 'chillies', 'salt', 'hing', 'laung', 'garlic', 'haldi', 'big', 'oil', 'rye', 'jeera', 'sprig', 'curry']",[],http://www.archanaskitchen.com/cauliflower-leaves-chutney-recipe-in-hindi
11,Homemade Baked Beans Recipe (Wholesome  Healthy),Savory,60,60,120,4,Vegetarian,High Protein Vegetarian,Fusion,International,beans such cannellini soya beans olive oil onion clove garlic tomato pureed honey more jeera jeera dried oregano chilli cayenne pepper saltand pepper coarsely pounded pepper,"['beans', 'such', 'cannellini', 'soya', 'beans', 'olive', 'oil', 'onion', 'clove', 'garlic', 'tomato', 'pureed', 'honey', 'more', 'jeera', 'jeera', 'oregano', 'chilli', 'cayenne', 'pepper', 'saltand', 'pepper', 'coarsely', 'pounded', 'pepper']",[],https://www.archanaskitchen.com/homemade-baked-beans-recipe-wholesome-healthy
